file,time,id,a,b,c
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931813,1099,"256",10,18266
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931829,1099,"257",8,18267
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931834,1099,"258",8,18268
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931839,1099,"259",8,18269
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931846,1099,"260",10,18270
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931854,1099,"261",8,18271
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931858,1099,"262",8,18272
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931862,1099,"263",8,18273
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931867,1099,"264",8,18274
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931875,1099,"265",10,18275
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931882,1099,"266",8,18276
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:21.931884,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.347965,1099,"260",8,18277
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.348074,1099,"260",10,18278
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.348153,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.375597,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.388127,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.446525,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.727007,1099,"260",8,18279
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.727072,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.727173,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.780567,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:23.814373,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:26.631994,1099,"260",10,18280
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:26.878166,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:26.878216,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:26.914582,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149560,1099,"256",10,18281
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149575,1099,"257",8,18282
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149580,1099,"258",8,18283
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149585,1099,"259",8,18284
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149592,1099,"260",10,18285
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149599,1099,"261",8,18286
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149603,1099,"262",8,18287
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149608,1099,"263",8,18288
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149612,1099,"264",8,18289
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149620,1099,"265",10,18290
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149627,1099,"266",8,18291
g80sh-conn-0923-2325-1.etl,2026-09-23 23:26:58.149629,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098887,1099,"256",10,18292
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098902,1099,"257",8,18293
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098907,1099,"258",8,18294
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098912,1099,"259",8,18295
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098919,1099,"260",10,18296
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098927,1099,"261",8,18297
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098931,1099,"262",8,18298
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098936,1099,"263",8,18299
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098941,1099,"264",8,18300
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098949,1099,"265",10,18301
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098956,1099,"266",8,18302
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:29.098958,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.484823,1099,"260",8,18303
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.484924,1099,"260",10,18304
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.485036,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.512223,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.523462,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.584432,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.700950,1099,"260",8,18305
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.701006,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.701073,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.750410,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:30.834877,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:34.028573,1099,"260",10,18306
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:34.275342,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:34.275440,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:27:34.306151,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626575,1099,"256",10,18307
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626591,1099,"257",8,18308
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626596,1099,"258",8,18309
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626600,1099,"259",8,18310
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626608,1099,"260",10,18311
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626615,1099,"261",8,18312
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626619,1099,"262",8,18313
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626624,1099,"263",8,18314
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626628,1099,"264",8,18315
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626636,1099,"265",10,18316
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626643,1099,"266",8,18317
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626645,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624821,1099,"256",10,18318
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624836,1099,"257",8,18319
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624841,1099,"258",8,18320
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624846,1099,"259",8,18321
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624854,1099,"260",10,18322
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624861,1099,"261",8,18323
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624865,1099,"262",8,18324
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624870,1099,"263",8,18325
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624874,1099,"264",8,18326
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624882,1099,"265",10,18327
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624889,1099,"266",8,18328
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624891,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.015199,1099,"260",8,18329
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.015315,1099,"260",10,18330
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.015416,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.043353,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.055853,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.117148,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.229283,1099,"260",8,18331
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.229355,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.229418,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.284965,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.371061,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.566455,1099,"260",10,18332
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.813764,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.813816,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.851115,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.947980,1099,"256",10,18333
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.947997,1099,"257",8,18334
