file,time,id,a,b,c
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025314,1099,"256",10,24310
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025328,1099,"257",8,24311
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025332,1099,"258",8,24312
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025335,1099,"259",8,24313
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025340,1099,"260",10,24314
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025346,1099,"261",8,24315
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025349,1099,"262",8,24316
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025352,1099,"263",8,24317
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025355,1099,"264",8,24318
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025361,1099,"265",10,24319
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025366,1099,"266",8,24320
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:05.025368,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.429173,1099,"260",8,24321
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.429296,1099,"260",10,24322
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.429345,220,"GPU",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.456668,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.468543,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.530739,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.782778,1099,"260",8,24323
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.782871,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.782930,220,"GPU",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.831899,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:06.865374,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:10.110185,1099,"260",10,24324
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:10.341001,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:10.341067,220,"GPU",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:10.375576,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464328,1099,"256",10,24325
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464343,1099,"257",8,24326
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464347,1099,"258",8,24327
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464350,1099,"259",8,24328
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464356,1099,"260",10,24329
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464361,1099,"261",8,24330
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464364,1099,"262",8,24331
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464367,1099,"263",8,24332
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464370,1099,"264",8,24333
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464376,1099,"265",10,24334
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464382,1099,"266",8,24335
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:41.464383,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821765,1099,"256",10,24336
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821790,1099,"257",8,24337
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821799,1099,"258",8,24338
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821808,1099,"259",8,24339
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821820,1099,"260",10,24340
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821832,1099,"261",8,24341
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821840,1099,"262",8,24342
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821849,1099,"263",8,24343
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821857,1099,"264",8,24344
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821871,1099,"265",10,24345
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821884,1099,"266",8,24346
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:51.821887,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.213468,1099,"260",8,24347
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.213600,1099,"260",10,24348
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.213645,220,"GPU",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.240931,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.252495,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.312166,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.421175,1099,"260",8,24349
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.421236,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.421334,220,"GPU",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.479464,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:53.563913,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:56.738386,1099,"260",10,24350
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:56.984729,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:56.984824,220,"GPU",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:07:57.016194,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845948,1099,"256",10,24351
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845963,1099,"257",8,24352
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845968,1099,"258",8,24353
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845972,1099,"259",8,24354
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845979,1099,"260",10,24355
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845986,1099,"261",8,24356
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845991,1099,"262",8,24357
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845995,1099,"263",8,24358
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845999,1099,"264",8,24359
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.846007,1099,"265",10,24360
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.846014,1099,"266",8,24361
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.846016,1099,"0",0,0
