file,time,id,a,b
g80sh-baseline-0919.etl,2026-09-19 17:08:52.626056,810,"9","PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.626076,811,"9","PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.626088,220,"PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009","65"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.626241,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.626443,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719106,222,"PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009","65"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719273,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719289,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719404,1010,"DISPLAY\SAM79DF\7&16b8ddb4&0&UID260","1"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719431,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719602,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719804,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.719911,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720068,220,"SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0","33"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720071,222,"SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0","33"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720083,220,"SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0","36"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720084,222,"SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0","36"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720091,220,"SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720091,222,"SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720097,220,"SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720098,222,"SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720103,220,"SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720104,222,"SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720112,220,"SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720112,222,"SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720118,220,"DISPLAY\BBC0104\7&16b8ddb4&0&UID265","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720123,222,"DISPLAY\BBC0104\7&16b8ddb4&0&UID265","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720129,220,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID256","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.720132,222,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID256","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.721395,807,"\Driver\monitor","DISPLAY\SAM79DF\7&16b8ddb4&0&UID260"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.721792,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.721920,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.721975,220,"DISPLAY\SAM79DF\7&16b8ddb4&0&UID260","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.721978,222,"DISPLAY\SAM79DF\7&16b8ddb4&0&UID260","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.722337,10011,"12","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.726503,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.726580,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.737349,10011,"4","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.737390,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.737458,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.737463,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.737465,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.741978,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.742044,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.763143,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.763221,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.763270,10011,"5","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764616,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764672,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764742,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764794,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764796,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764852,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764854,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764908,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764913,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.764969,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.852928,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.853070,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.857333,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.857395,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866251,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866342,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866343,10011,"9","0"
