time,phase,gpu_w,cpu_w,idle_s
09:27:24,B-normal,26,32.4,1,569
09:27:25,B-normal,26,36.3,1,570
09:27:26,B-normal,26,33.2,1,571
09:27:27,B-normal,25,32.7,1,572
09:27:28,B-normal,26,33,1,573
09:27:29,B-normal,26,32.7,1,574
09:27:30,B-normal,25,34.2,1,575
09:27:31,B-normal,26,35.6,1,576
09:27:32,B-normal,26,33.8,1,577
09:27:33,B-normal,26,34.6,1,578
09:27:34,B-normal,26,35,1,579
09:27:35,B-normal,27,33.6,1,580
09:27:37,B-normal,27,34,1,581
09:27:38,B-normal,27,33.4,1,582
09:27:39,B-normal,26,33.4,1,583
09:27:40,B-normal,27,35.2,1,584
09:27:41,B-normal,27,33.7,1,585
09:27:42,B-normal,26,34.5,1,586
09:27:43,B-normal,26,34.7,1,587
09:27:44,B-normal,26,33.3,1,588
09:27:45,B-normal,26,32.5,1,589
09:27:46,B-normal,26,33.2,1,590
09:27:47,B-normal,28,32.9,1,591
09:27:48,B-normal,26,33.9,1,592
09:27:49,B-normal,27,32.9,1,593
09:27:50,B-normal,27,33,1,594
09:27:51,B-normal,25,33.3,1,595
09:27:52,B-normal,26,33.9,1,596
09:27:53,B-normal,26,33.8,1,597
09:27:54,B-normal,26,33.6,1,598
09:27:55,B-normal,25,35,1,599
09:27:56,B-normal,26,35.9,1,600
09:27:57,B-normal,26,33,1,601
09:27:58,B-normal,25,33.3,1,602
09:27:59,B-normal,25,32.1,1,603
09:28:00,B-normal,26,32.8,1,604
09:28:01,B-normal,29,34.2,1,605
09:28:02,B-normal,29,34.8,1,606
09:28:03,B-normal,43,48,1,607
09:28:04,B-normal,14,41.2,1,608
09:28:05,B-normal,12,36.6,1,609
09:28:06,B-normal,12,35,1,610
09:28:07,B-normal,44,52.1,1,611
09:28:08,B-normal,31,37.1,1,612
09:28:09,B-normal,26,37.4,1,613
09:28:10,B-normal,26,33.8,1,614
09:28:11,B-normal,26,34.1,1,615
09:28:12,B-normal,26,33.5,1,616
09:28:13,B-normal,25,32.7,1,617
09:28:14,B-normal,26,33.3,1,618
09:28:15,B-normal,26,33.1,1,619
09:28:16,B-normal,26,34.1,1,620
09:28:17,B-normal,26,33.2,1,621
09:28:18,B-normal,26,33,1,623
09:28:19,B-normal,26,33.2,1,624
09:28:20,B-normal,26,33,1,625
09:28:21,B-normal,25,33.1,1,626
09:28:22,B-normal,15,39.8,1,627
09:28:23,B-normal,12,34,1,628
09:28:24,B-normal,12,33.2,1,629
09:28:25,B-normal,12,33.4,1,630
09:28:26,B-normal,7,34.2,1,631
09:28:27,B-normal,7,32.9,1,632
09:28:28,B-normal,5,33.8,1,633
09:28:29,B-normal,4,33.1,1,634
09:28:30,B-normal,4,32.8,1,635
09:28:31,B-normal,3,34,1,636
09:28:32,B-normal,3,33.9,1,637
09:28:33,B-normal,3,33.5,1,638
09:28:34,B-normal,6,33.4,1,639
09:28:35,B-normal,6,34.2,1,640
09:28:36,B-normal,3,32.9,1,641
09:28:37,B-normal,2,32.7,1,642
09:28:38,B-normal,2,34.3,1,643
09:28:39,B-normal,2,33.1,1,644
09:28:40,B-normal,2,32.4,1,645
09:28:41,B-normal,2,33.8,1,646
09:28:42,B-normal,2,33,1,647
09:28:43,B-normal,4,33.5,1,648
09:28:44,B-normal,2,33.3,1,649
09:28:46,B-normal,2,34.8,1,650
09:28:47,B-normal,2,33,1,651
09:28:48,B-normal,2,33.3,1,652
09:28:49,B-normal,2,33.1,1,653
09:28:50,B-normal,2,33.2,1,654
09:28:51,B-normal,2,33,1,655
09:28:52,B-normal,2,34.7,1,656
09:28:53,B-normal,2,32.9,1,657
09:28:54,B-normal,2,33.6,1,658
09:28:55,B-normal,2,33.6,1,659
09:28:56,B-normal,58,51.7,1,660
09:28:57,B-normal,13,37.6,1,661
09:28:58,B-normal,12,37.5,1,662
09:28:59,B-normal,19,42.3,1,663
09:29:00,B-normal,44,47,1,664
09:29:01,B-normal,30,35.3,1,665
09:29:02,B-normal,26,39.3,1,666
09:29:03,B-normal,26,32.8,1,667
09:29:04,B-normal,26,33,1,668
09:29:05,B-normal,25,32.9,1,669
09:29:06,B-normal,26,32.7,1,670
09:29:07,B-normal,25,34.2,1,671
09:29:08,B-normal,26,33.2,1,672
09:29:09,B-normal,25,34.2,1,673
09:29:10,B-normal,25,33.5,1,674
09:29:11,B-normal,26,34.1,1,675
09:29:12,B-normal,26,33.8,1,676
09:29:13,B-normal,26,33.2,1,677
09:29:14,B-normal,32,34.2,1,678
09:29:15,B-normal,2,35.9,1,679
09:29:16,B-normal,3,34.6,1,680
09:29:17,B-normal,3,34,1,681
09:29:18,B-normal,3,33,1,682
09:29:19,B-normal,4,33.2,1,683
09:29:20,B-normal,5,32.8,1,684
09:29:21,B-normal,8,33.3,1,685
09:29:22,B-normal,12,33.7,1,686
09:29:23,B-normal,1,32.8,1,687
09:29:24,B-normal,1,33,1,688
09:29:25,B-normal,11,34.5,1,689
09:29:26,B-normal,3,36.5,1,690
09:29:27,B-normal,1,33.7,1,691
09:29:28,B-normal,1,32.8,1,693
09:29:29,B-normal,1,33.1,1,694
09:29:30,B-normal,1,33,1,695
09:29:31,B-normal,1,33.5,1,696
09:29:32,B-normal,1,34.4,1,697
09:29:33,B-normal,1,33.5,1,698
09:29:34,B-normal,1,32.6,1,699
09:29:35,B-normal,11,33.5,1,700
09:29:36,B-normal,3,33.3,1,701
09:29:37,B-normal,48,48,1,702
09:29:38,B-normal,14,41.6,1,703
09:29:39,B-normal,17,35.2,1,704
09:29:40,B-normal,13,36.1,1,705
09:29:41,B-normal,13,50.6,1,706
09:29:42,B-normal,33,39.8,1,707
09:29:43,B-normal,25,38.7,1,708
09:29:44,B-normal,26,35.4,1,709
09:29:45,B-normal,25,33.1,1,710
09:29:46,B-normal,26,34.5,1,711
09:29:47,B-normal,25,44.2,1,712
09:29:48,B-normal,25,44.3,1,713
09:29:49,B-normal,25,44.6,1,714
09:29:50,B-normal,26,44.7,1,715
09:29:52,B-normal,26,45.6,1,716
09:29:53,B-normal,26,44.5,1,717
09:29:54,B-normal,26,44.6,1,718
09:29:55,B-normal,27,45.9,1,719
09:29:56,B-normal,4,47.3,1,720
09:29:57,B-normal,4,44.4,1,721
09:29:58,B-normal,3,44,1,722
09:29:59,B-normal,3,43.7,1,723
09:30:00,B-normal,3,44.9,1,724
09:30:01,B-normal,4,44,1,725
09:30:02,B-normal,5,46.7,1,726
09:30:03,B-normal,8,44.7,1,727
09:30:04,B-normal,13,44.5,1,728
09:30:05,B-normal,3,43.7,1,729
09:30:06,B-normal,3,44.5,1,730
09:30:07,B-normal,3,45.4,1,731
09:30:08,B-normal,2,45.1,1,732
09:30:09,B-normal,2,44.5,1,733
09:30:10,B-normal,2,43.5,1,734
09:30:11,B-normal,2,44.7,1,735
09:30:12,B-normal,2,45.4,1,736
09:30:13,B-normal,2,45.5,1,737
09:30:14,B-normal,2,43.7,1,738
09:30:15,B-normal,4,44,1,739
09:30:16,B-normal,2,44.3,1,740
09:30:17,B-normal,2,45.1,1,741
09:30:18,B-normal,2,43.6,1,742
09:30:19,B-normal,2,43.8,1,743
09:30:20,B-normal,2,44.5,1,744
09:30:21,B-normal,3,44.3,1,745
09:30:22,B-normal,4,44.8,1,746
09:30:23,B-normal,9,44.1,1,747
09:30:24,B-normal,14,44.3,1,749
09:30:25,B-normal,14,45.3,1,750
09:30:26,B-normal,3,47.8,1,751
09:30:27,B-normal,48,61.1,1,752
09:30:28,B-normal,14,47.5,1,753
09:30:29,B-normal,13,46,1,754
09:30:30,B-normal,13,55,1,755
09:30:31,B-normal,39,51.6,1,756
09:30:32,B-normal,25,47.3,1,757
09:30:33,B-normal,25,47.2,1,758
09:30:34,B-normal,26,44.3,1,759
09:30:35,B-normal,25,44.4,1,760
09:30:36,B-normal,25,44.2,1,761
09:30:37,B-normal,25,44.4,1,762
09:30:38,B-normal,25,44.2,1,763
09:30:39,B-normal,25,45.5,1,764
09:30:40,B-normal,25,44.1,1,765
09:30:41,B-normal,25,45.1,1,766
09:30:42,B-normal,25,44.4,1,767
09:30:43,B-normal,25,44.4,1,768
09:30:45,B-normal,26,45,1,769
09:30:46,B-normal,25,44.6,1,770
09:30:47,B-normal,25,43.1,1,771
09:30:48,B-normal,25,44,1,772
09:30:49,B-normal,25,44.3,1,773
09:30:50,B-normal,25,45.5,1,774
09:30:51,B-normal,25,44.2,1,775
09:30:52,B-normal,25,45.4,1,776
09:30:53,B-normal,25,44.1,1,777
